Promoter_1_gene_id	Promoter_1_Type	Cell_line_interaction	Promoter_2_gene_id	Promoter_2_Type		
AHCY	hPromoter	Hela	SRRM2	hPromoter		
AHCY	hPromoter	Hela	DYSF	hPromoter		
AHCY	hPromoter	Hela	ITCH	hPromoter		
AHCY	hPromoter	Hela	DYNLRB1	hPromoter		
AHCY	hPromoter	Hela	TP53INP2	hPromoter		
AHCY	hPromoter	K562 & Hela	AHCY	hPromoter		
AHCYL1	hPromoter	Hela	STRIP1	EPromoter(K562 & Hela)		
AHCYL1	hPromoter	Hela	AHCYL1	hPromoter		
AHCYL2	hPromoter	Hela	SMTN	hPromoter		
AHCYL2	hPromoter	Hela	AHCYL2	hPromoter		
AHR	hPromoter	Hela	FBXO24	hPromoter		
AHR	hPromoter	Hela	LRCH4	hPromoter		
AHSA1	hPromoter	K562	GSTZ1	EPromoter(Hela)		
AHSA1	hPromoter	Hela	EIF2B4	hPromoter		
AHSA1	hPromoter	Hela	SNX17	hPromoter		
AHSA1	hPromoter	K562	POMT2	hPromoter		
AIFM2	hPromoter	Hela	TYSND1	hPromoter		
AIM2	hPromoter	K562	IFI16	EPromoter(K562)		
AIP	hPromoter	Hela	TMEM134	hPromoter		
AIPL1	hPromoter	Hela	CDC14A	hPromoter		
AJUBA	hPromoter	Hela	C5orf30	hPromoter		
AJUBA	hPromoter	Hela	KANSL2	hPromoter		
AJUBA	hPromoter	Hela	AJUBA	hPromoter		
AJUBA	hPromoter	Hela	LRP10	hPromoter		
AJUBA	hPromoter	K562	CDH24	hPromoter		
AJUBA	hPromoter	K562	PRMT5	hPromoter		
AK1	hPromoter	Hela	FPGS	hPromoter		
AK2	hPromoter	Hela	S100A10	hPromoter		
AK2	hPromoter	Hela	DR1	hPromoter		
AK3	hPromoter	Hela	CDC37L1	hPromoter		
AK3	hPromoter	K562 & Hela	PPAPDC2	hPromoter		
AK7	hPromoter	Hela	C2orf42	hPromoter		
AK7	hPromoter	Hela	GSKIP	hPromoter		
AK7	hPromoter	Hela	ATG2B	hPromoter		
AKAP1	hPromoter	K562	COIL	hPromoter		
AKAP1	hPromoter	K562	SCPEP1	hPromoter		
AKAP12	hPromoter	Hela	SERPINC1	hPromoter		
AKAP13	hPromoter	Hela	HIST1H2BG	hPromoter		
AKAP13	hPromoter	Hela	HIST1H2AE	hPromoter		
AKAP13	hPromoter	Hela	AKT3	hPromoter		
AKAP3	hPromoter	K562	C12orf4	hPromoter		
AKAP3	hPromoter	K562	RAD51AP1	hPromoter		
AKAP5	hPromoter	K562	ESR2	hPromoter		
AKAP8	hPromoter	Hela	AKAP8L	hPromoter		
AKAP8L	hPromoter	Hela	AKAP8	hPromoter		
AKAP9	hPromoter	Hela	ZBTB2	hPromoter		
AKAP9	hPromoter	Hela	MTERF1	hPromoter		
AKIRIN1	EPromoter(K562)	K562	RRAGC	EPromoter(K562 & Hela)		
AKIRIN1	EPromoter(K562)	K562	MYCBP	hPromoter		
AKIRIN2	hPromoter	Hela	RNF145	hPromoter		
AKNA	hPromoter	Hela	ATP6V1G1	hPromoter		
AKR1A1	hPromoter	Hela	MMACHC	hPromoter		
AKR1A1	hPromoter	K562 & Hela	PRDX1	hPromoter		
AKR1C1	hPromoter	K562	AKR1C2	hPromoter		
AKR1C2	hPromoter	K562	AKR1C1	hPromoter		
AKT1S1	hPromoter	K562 & Hela	PNKP	EPromoter(Hela)		
AKT1S1	hPromoter	K562 & Hela	CDKN2A	hPromoter		
AKT1S1	hPromoter	K562 & Hela	ATF5	hPromoter		
AKT1S1	hPromoter	K562 & Hela	NUP62	hPromoter		
AKT1S1	hPromoter	K562 & Hela	IL4I1	hPromoter		
AKT1S1	hPromoter	K562 & Hela	PTOV1	hPromoter		
AKT3	hPromoter	Hela	AKAP13	hPromoter		
AKTIP	hPromoter	Hela	SELK	hPromoter		
ALAD	hPromoter	Hela	C9orf43	hPromoter		
ALAD	hPromoter	Hela	POLE3	hPromoter		
ALAD	hPromoter	Hela	PRPF4	hPromoter		
ALAD	hPromoter	Hela	CDC26	hPromoter		
ALAS1	hPromoter	Hela	POC1A	hPromoter		
ALDH16A1	hPromoter	Hela	RPL13A	hPromoter		
ALDH1L2	hPromoter	Hela	OLR1	hPromoter		
ALDH3A1	hPromoter	Hela	ZNF195	hPromoter		
ALDH3B1	hPromoter	K562 & Hela	NDUFS8	hPromoter		
ALDH3B1	hPromoter	K562 & Hela	TCIRG1	hPromoter		
ALDH5A1	hPromoter	Hela	PYGB	hPromoter		
ALDH5A1	hPromoter	K562 & Hela	ACOT13	hPromoter		
ALDH5A1	hPromoter	K562 & Hela	TDP2	hPromoter		
ALDH6A1	hPromoter	Hela	SULT6B1	EPromoter(K562)		
ALDH6A1	hPromoter	Hela	CAD	hPromoter		
ALDH7A1	hPromoter	Hela	PHAX	hPromoter		
ALDH9A1	hPromoter	K562	MGST3	hPromoter		
ALDOA	hPromoter	Hela	FAM53C	EPromoter(K562)		
ALDOA	hPromoter	Hela	LHX9	hPromoter		
ALDOA	hPromoter	Hela	PPP4C	hPromoter		
ALDOA	hPromoter	Hela	TBX6	hPromoter		
ALDOA	hPromoter	K562 & Hela	ALDOA	hPromoter		
ALDOC	hPromoter	Hela	PEX5	hPromoter		
ALG1	hPromoter	Hela	NUBP1	hPromoter		
ALG10	hPromoter	Hela	BBS12	hPromoter		
ALG10	hPromoter	K562 & Hela	YARS2	hPromoter		
ALG12	hPromoter	Hela	HMBS	hPromoter		
ALG12	hPromoter	K562	ZBED4	hPromoter		
ALG14	hPromoter	K562 & Hela	TMEM56	hPromoter		
